smiles,gap
CN1N=NC=C(C)C1=O,0.1832
N=C1C=NN(C=O)N=N1,0.1668
c1c(c[nH]c1O)C#N,0.2094
OC1CCC2=C1N=NO2,0.1757
OCC12CCC1C(=N)O2,0.2814
CC(C)C(C)(O)C(N)=O,0.2649
CC1=CNC(=N)O1,0.2224
CCC1(CNC1=O)C#C,0.2641
N#CC1C2CC(C#N)C12,0.3095
C1c2c([nH]c(=O)[nH]2)CO1,0.234
COC=Nc1ccco1,0.1755
CN1C(CNC1=O)C=O,0.1951
CC(OC=N)(C=O)C#N,0.2181
C(=O)n1c(noc1=O)N,0.208
c1nc(c(n1C=O)O)N,0.1726
C1CC=CCCCOC1,0.2548
C1OC23CN4C(CC124)C3,0.2759
C1OC2CC3OC3C1O2,0.3427
CCC1C2CC(C)=CC12,0.2415
OCCCC1C2CC1O2,0.3097
CC(C)C(=O)NC(C)C,0.2769
C1OC2C3COC2C1O3,0.3222
CN1C2CC2(C)C1C#C,0.2401
CC1=CC2(O)CC(C2)C1,0.246
CC(CC(=O)C=O)C=O,0.1575
C1CC(C1)C(=O)C2CC2,0.2279
C(C=O)NC(=O)NC=N,0.2197
Cc1c(cc([nH]1)CO)N,0.2109
c1c(c(coc1=O)N)N,0.1781
COC(C)C1=CNN=C1,0.2614
C1C(CO1)C(=O)CC=O,0.2083
C1OC2C=CC3C1C23,0.2348
C(C(=O)N(C=O)C=O)N,0.2077
CC1OC(C)=NC1(C)C,0.2705
CCCCN1CC1C#N,0.2688
C1OC11CC2OCCC12,0.31
CC1(C)CC11COC=N1,0.2476
CC(=O)NC(C)(C)C=O,0.2116
N=C1C2OC3C4C(C23)N14,0.2287
CC1(CO1)C1CN=CO1,0.2702
c1c(c(n[nH]1)C2CC2)O,0.2318
CCC12CCC1CCC2,0.3502
c1c(c(on1)C#N)C=O,0.1793
CC(C#N)N1CC1C,0.2768
OC1CC(O)C2NC12,0.3118
CC(C)C1(CN1)C=O,0.2232
OC12CC3OC(=NC1)C23,0.2198
C1COCCC1CC=O,0.2244
CC(CC#C)(C=O)C=O,0.1953
CCC(C#C)C(C)C,0.3138
CNC(=O)C1COC1,0.2641
O=C1OCCC11CCO1,0.241
CC1=NC2C(O)C2(C)O1,0.2525
CC1COC2C(O)C12O,0.2955
N=C1NC(=CO1)C1CO1,0.2072
CC12NC1CNC2=O,0.2581
C1OC11C2CC3OC1C23,0.2957
CC12CC=CC1C2C#N,0.2452
C1C(CN1C=O)CO,0.2668
Cc1cc([nH]c1C)C=O,0.1753
COC1(C)CCC(C)C1,0.3247
Cc1cc(oc1)N(C)C,0.2174
C#CC#CCCC=O,0.2118
CC1CCC(CC1)=NO,0.252
OCC(O)C1OC1C#C,0.2621
OC1C2CC1(O)C2C#N,0.2975
C1OC2C3CC(C3)OC12,0.3179
N=C1OC(=O)NC=C1,0.1997
CC1C2NC2(C=O)C1O,0.21
C[NH+]=C(N(C)C)C([O-])=O,0.1902
CC1=CC2OC1C21CO1,0.2372
OCCCCCC1CO1,0.3426
CCC(=N)OC(=O)CO,0.2435
CC12C3C4C(N4C13)C2=O,0.2087
N#CCC1C2CN1CC2,0.2758
O=C1C2C3CC2OC1O3,0.2014
NC1=CNN=C1C1CN1,0.2153
CC1(C)CC2C(C#N)N12,0.2611
O=C1NC2C3CCC12N3,0.2358
CNC(=O)NCCCO,0.3044
CC1CC(C)C(O1)C#N,0.2906
CN1CC(=O)C1(C)C#N,0.2019
C#CC1=CCOC(=O)C1,0.213
CCOC(=N)C1CN1C,0.2477
N#CC1CC2CN1C2,0.2716
CN1CC1C1C2CC1C2,0.3103
C1C2(CO1)COCO2,0.3151
c1cncnc1C#N,0.1918
C1CN1c2[nH]c(=O)[nH]n2,0.2399
OC12C=CC3C1OC23,0.2163
CC(=O)C12CC(C1)C2O,0.2201
C1CC2(CCC=C2)O1,0.2508
C1C2C1C13CCCC21O3,0.3293
c1cnoc1CCC#N,0.2435
O=C1C2CC11OCC1O2,0.1971
CC1(C)NCC(=O)C1O,0.2002
CC1(NC(=N)C1O)C#N,0.2683
CC1(O)CC1(C)C(N)=O,0.2656
CC(=O)C1=NC2CC2N1,0.1672
CC12CC1N1C(C=O)C21,0.1966
c1coc(n1)N=CN,0.1861
OCC12CC1(OC2)C=O,0.207
CC1CCOC1C(N)=O,0.263
NC1C2CCC1(O2)C#N,0.2539
c1(=O)c(nonc1F)N,0.1576
OC1CC1C12CCC1O2,0.3076
CC1C2OC1C2(O)CO,0.2915
C1CC1(CO)COC=O,0.2628
OC1CC2(O)C3OC1C23,0.2893
CC1(CN1CC(=O)N)C,0.2707
CCC1(CC(=O)C1)C#C,0.2199
ON=C1CNC1C=O,0.2053
CCC1=CC(=N)ON=C1,0.1663
CC12CC1C1NC1CO2,0.2829
NC(=O)C1N2CC1(O)C2,0.2671
C1C2CC3=CCOCC123,0.2493
C#CC1COC2CN1C2,0.2522
OC1CNC1=NCC#C,0.2565
CC12CC1(O)CC=CC2,0.2655
N=COC1CC1NC=O,0.2268
C1C=CCC1=O,0.2245
C1CC1OC(=O)CCO,0.2817
CCC1C2NC(=O)C12C,0.2504
CC#CC1CC(C)C1=O,0.2088
CCOCCCOCC,0.3348
C1OC2C3OC3C2O1,0.2993
N=C1OCOC1C#N,0.2783
C1CC2(CC2)CNC1=O,0.2689
CC1CC2C1C2(C)O,0.3167
COCC1CN1CC#N,0.2779
CC1(O)CC2CC1C2,0.3309
CCC(O)CC1CC1,0.3245
CN=C1NN=CC(F)=N1,0.1486
c1c(n(nn1)CC=O)O,0.2009
CC1NC2C(N)C12C#N,0.2477
CC1CC(C1)C1(C)CC1,0.3382
C#CC12CN3CCC1C23,0.2612
CC12OC1C=CC21CC1,0.2359
CCC1=CCCCC1O,0.2587
CCC1NC1(C)CO,0.3052
CC(=O)CC(O)C1CO1,0.2306
OC12CC3(O)C(C1)OC23,0.3039
CC(C)C#C,0.316
N=C1ON=C(N=C1)C#N,0.1606
CC(C)C1(CC1)CCO,0.3399
NC(C#N)C12CC1CC2,0.2739
C#CC1COC(=N1)C#C,0.2196
NC1=C(F)N=NOC1=O,0.1605
O=COC1CCC=CC1,0.2648
CC1CN(C=C1)C(C)=O,0.2074
CC(C)CN1CC(=O)C1,0.2065
C#CCc1[nH]ncn1,0.2712
O=C1OC2C3CN3C12,0.2443
OCC12C3CCC1OC23,0.3044
CC(=O)C(NC=O)C#C,0.2196
CCc1[nH]nc(n1)NC,0.2256
N#CC1OCOC11CC1,0.2749
CC12C(O)C1CC2O,0.3111
N=C1OC2CC2C1C#C,0.2734
OCC1CN2CC2CO1,0.3031
CCC12NC1COC2=O,0.252
OCCC#CC1CN1,0.2682
c1c2c(c(o1)N)[nH]cn2,0.184
c1cnn2c1nccn2,0.1622
CC1=CC2C3CC2C1C3,0.2443
CC#CC#CC(=O)NC,0.196
CCC1C2C3CC3(O)C12,0.3228
CC1(C#N)C2C3OC3C12,0.2661
CC1C2CC1C21CC1,0.369
CC1C=CCC1CO,0.2611
CC(C)NC(=O)COC,0.2686
C1NC1C1=COC=N1,0.2387
CNC(=O)C(N)C#C,0.261
COC1CN=C(C)O1,0.2792
OC1=NC=CC(=N)N1,0.1865
CC1(COC1)OCC#C,0.2691
CC12CN3CC(O1)C2C3,0.2924
N=C1OC23CC12C=CC3,0.243
CCC1(C)CC2COC12,0.3182
Cc1c([nH]c(c1O)N)C,0.2283
NCC(C#N)C(N)=O,0.2638
COC1=NC(=N)C=NO1,0.2001
OC1CCC2=CON=C12,0.2392
OC1(C=O)C=CCC1=O,0.1855
OC1C2OC(=O)C1C2O,0.2669
CCC1(CC(N)=O)CO1,0.2692
OC1C2CN(CC#N)C12,0.2542
CC1(CC(=O)C1)COC,0.222
C1CC23CC4OC12CC34,0.3094
CC1(C)C2N1CC21CO1,0.3022
C#CC1=CC(OC1)C#N,0.209
c1cc(cnc1)C#N,0.2123
O=C1CC=CC2CC1C2,0.2215
OCC1CC=CC1C#N,0.2619
CC1(COC11CC1)C=O,0.2084
OC1=NC(F)=NC(=O)O1,0.2223
CC1(CNC(=O)N1)C#N,0.2788
c1c(c2n(n1)CC2)N,0.2268
CC1OC11CCCC=C1,0.251
O=C1C=CC23CC12CC3,0.1809
CC(O)C(=O)C1CC1,0.2374
C1C(=O)COC12COC2,0.2165
Cc1c(c(on1)N)CO,0.227
COCCNC(=O)C=O,0.1758
CC12CC(C#N)C1(C)N2,0.2701
C1C2CC3=C(NN=C3)C12,0.2423
c1[nH]c2c(n1)OCC=C2,0.1661
CC#CC(C)C(C)C,0.3027
c1c([nH]cnc1=O)CN,0.2016
OC1C2C=CC11CCN21,0.2099
Cn1cncc(c1=O)N,0.1766
CC1(CC(=O)O1)C(N)=O,0.2584
CN1C2C3C(O)C2C13,0.2859
O=C1OC2C3C4C3C1C24,0.2571
CC1C2CNC(=O)CC12,0.2669
CCCC1(C)OCC1=O,0.2224
O=C1OC2CC3(CN3)C12,0.2614
CCOC1C2OCC12O,0.2915
CCC1(COC)OC1C,0.33
CC1(O)COCC11CN1,0.3002
CC(C)Oc1ccc[nH]1,0.2445
CC1OC1(C#C)C(C)=O,0.2212
COC1(C)CC1O,0.3161
CC1OC2C1NCC2=O,0.1953
CC(NC(C)=O)C#C,0.2707
c1nc(c(o1)C2CC2)N,0.2012
OC1CC=CCC1=O,0.2278
CC1(C)NC1C(=O)C=O,0.1492
CC(=O)Oc1ccn[nH]1,0.2114
CC1(CO)CCC1=NO,0.2466
CC1=CC(O)C(=O)C1=O,0.141
C1CC12COC23COC3,0.3097
[NH3+]C1CC1(C#N)C([O-])=O,0.1624
C#CC1OC2OC1C=C2,0.2429
C1C(CC1=O)CNC=O,0.222
CCCC1C=CC2CC12,0.246
C#Cc1cnc(nc1)F,0.1999
CC1(CCO1)C1CCO1,0.3028
O=CC1(CN1)C1CC1,0.2204
CC1C2C3OC1COC23,0.2997
CC1CC1C1(O)CCC1,0.3118
C#CCNc1cnon1,0.2095
CNC(=O)c1ncno1,0.204
N#CC1CC2COC2C1,0.2874
CCC12CCC1COC2,0.3265
CC(N)C(CC#N)C#N,0.2832
c1nc2n(n1)CCOC2,0.2657
C1CC1COCC#N,0.2916
CCC1(CO)CC1O,0.3192
CNc1nnon1,0.1925
COC1(CC2NC12)C#N,0.2672
CCC12NC(C=C1)C2O,0.2281
CCC1=COC(=N)C=C1,0.1645
OC(C=O)C1CC=CC1,0.2069
CCC1CCC=C1CO,0.2594
OC12CC1CN1CC21,0.2991
CC(C)C(C(C)C)OC,0.3201
Cn1cc(c(n1)N)N,0.2174
CN1C2C3C(O)C2(O)C13,0.266
CC1CCCN1C(C)=O,0.2662
CCOC1C2CCC12C,0.3222
CC#CC(=O)C1CC1,0.2065
CC12CC(O)CC1(C)N2,0.3022
OC12C3CC1C1OC3C21,0.2906
CC(=O)C1CCC=CC1,0.2297
CC(C)(OC=O)C1CO1,0.2751
CC(CC#C)CC#C,0.2958
CC1=C(NC=C1)C1CO1,0.2293
CC12CC1C(C)(C)CO2,0.3072
OC1COCCOC1=O,0.262
CC12CCC1(O)C1NC21,0.3131
CC1C2C(C)OC12CO,0.3003
CC1OC(C)C1OC=N,0.2724
CC1OCC2COC1O2,0.3257
CC1C(O)C1(C)C(N)=O,0.2757
N#CC12NC3COC1C23,0.2378
O=CC1CC1C(=O)C#C,0.1722
Cn1c(nnc1N)N,0.2479
NC1=NCC2CC2C1=O,0.1798
COC1(C)CC11CCO1,0.3
c1coc(n1)CNC=O,0.2429
CC(=O)C#CC(F)(F)F,0.2023
COc1ccc(=O)oc1,0.1633
CC1C2OCC1(O)C2C,0.2953
N=C1OC(C#N)C2CC12,0.2745
O=COC1CC2CC2O1,0.2636
CN1CCc2c1[nH]cc2,0.2196
Cc1c2c(co1)NCC2,0.2147
CC(C#N)C12CC1CC2,0.2996
[O-]C(=O)C12CC(C1)[NH2+]2,0.2156
C[NH+]=C(N)C([O-])=O,0.1972
OCC1CC(CO1)=NO,0.249
CCOCCC1(C)CO1,0.3392
CCCN(C)CC#N,0.2585
CC1C2C1C1C3CN1C23,0.3112
CCN1C2CC3OC3C12,0.2804
CCC1C2CC1(O)C2C,0.3314
CC(NC(=N)C#N)C#N,0.2146
O=C1C2CC1C1(CN1)C2,0.2271
C1C2OC3CNC2C1O3,0.2858
C(C(=O)NC(=N)N)O,0.2264
CC1C2C1C(=O)CC2=O,0.2097
OC1CC1C(=O)N1CC1,0.231
c1c(onn1)C#CCO,0.1952
CCC1(CN1C)C=O,0.215
CC#CCC(O)C(C)=O,0.226
C1CC2OC3C4C2N4C13,0.3173
CC1(CC(C1)C#C)C#N,0.2861
C#CC12CC1(NC2)C#N,0.2182
CC(=O)CC1CO1,0.2343
CC12OCOC1CC2=O,0.1948
OCC(OCC=O)C#N,0.2295
O=CC1OC11CN2CC12,0.2053
c1c(nn[nH]1)CO,0.2514
O=C1CC2OC1C21CN1,0.2117
CC#CC(C)C#CC=O,0.2003
C#CC12CC3C4C(C13)N24,0.2599
CC12OC3=NCCC1C23,0.2046
CC1C2C3CC1OC23,0.3205
N1C2C1C1OC3C(O1)C23,0.2979
CC1CC2OC(=N)C2C1,0.2876
CNCC(=O)C#N,0.1552
CCC(C)C1=NC=CN1,0.2516
CC1C2OC1C=C2,0.2367
CC12CC(=O)NCC1O2,0.2753
OCC1=CC2CC1C=C2,0.2155
C1CN1C12CC(C1)C=C2,0.2353
OC12CC3(C1)OC=NC23,0.258
CC#CC(C)N1CC1C,0.271
O=C1OCC2C3CC2C13,0.2656
CN=C1OCC2CC12O,0.2608
C1C23COC12CCC3,0.2916
Cc1ccoc1N(C)C,0.2358
OC1CC2CC(C=O)C12,0.2104
CC1NCC(=O)C11CN1,0.1948
CC#CCCCCC#C,0.2988
CC(O)CCNC(C)=O,0.2767
CCc1c[nH]cnc1=O,0.2088
O=COC1C2NC(=O)C12,0.2466
OCC1CC11CCC1O,0.3164
c1cc([nH]c1C=O)N,0.1678
NC=NC(C=O)C(N)=O,0.1983
CCCCCN(C)C=O,0.2719
C#CC(=O)CCCC=O,0.1887
CC12COC(C1)C=CC2,0.2481
C1C2CC11CCCC21,0.3483
CC1CC(C1C)C(C)=O,0.2291
c1cnn2c1CCCC2,0.2539
Cc1cc(c(n1C)N)O,0.2258
CC(=NC)NC(=O)CO,0.2343
NC1(C#N)C2OC2C1O,0.2615
CC1C2C3C4C(N24)C13C,0.3018
CCC(O)C(CO)CO,0.3136
COC1C2C3C2N(C)C13,0.2777
O=CC(=O)C1C2CCC12,0.1494
CC12CN3CC(C1O)C23,0.2703
C(=O)C(=O)N(C=N)C=O,0.1534
c1c(cn[nH]1)CNC=O,0.2552
O=CC1COC2CN1C2,0.1952
c1c[nH]nc1N(=O)=O,0.2059
c1coc(c1CO)N,0.2159
CCCc1[nH]c(=O)on1,0.2561
NC1C(=O)OC11CC1O,0.2552
CC12C3CC4C(C13)C24C,0.3024
CCC1(COC1)C,0.3135
COCC12CC1C(=O)C2,0.232
CC12CC3NC3C1CO2,0.3028
CCC12OC1C1COC21,0.2931
CC#CC1(C)CC1C,0.2855
CN1C2CC3NC3C12,0.2722
c1cc(c(=O)[nH]c1)C#N,0.1613
CC1C2CC3C=CC1N23,0.218
CC1CCC1(C#N)C#N,0.3091
OC1CN=CNC1=N,0.2291
CC(CO)N1CC1CO,0.295
CCC1C2C(C)OC12C,0.31
CC1CC2C1COC2C,0.3197
COC1CC2OC2CO1,0.3475
CNc1c2n(nn1)CC2,0.2101
CC1(CO1)C1CCC1O,0.3226
CN=C1NN=NC(F)=N1,0.1539
CC1C(C=O)C1N1CC1,0.2228
CCC1CC2(CC2)O1,0.3063
CCC(C)(O)C(=O)C#C,0.1882
CC1OCC1(N)C(N)=O,0.2584
O=C1NC=C2C3CC3N12,0.2115
CC(C)C(=O)COC=N,0.2186
CCCOCCNC=O,0.2831
O=CC1OC2CCC12,0.2156
