canonical_smiles,gap
O=CNC1CC1,0.2757
O=COC1CC1,0.2785
CC#CC1CC1,0.2837
CC#CC1CN1,0.2698
CC#CC1CO1,0.276
CCCC1CC1,0.3661
CCCC1CO1,0.3582
CCCN1CC1,0.3227
CCOC1CC1,0.3376
COCC1CC1,0.3419
COCC1CN1,0.3228
COCC1CO1,0.3412
OCCC1CC1,0.3424
OCCC1CO1,0.343
OCCN1CC1,0.333
C#CC1CC1C,0.2907
CC1CC1C#N,0.3174
C#CC1NC1C,0.2832
CC1NC1C#N,0.2936
C#CC1OC1C,0.281
CC1OC1C#N,0.2951
C#CC1CN1C,0.2631
CN1CC1C#N,0.2692
C#CC1CC1O,0.2864
N#CC1CC1O,0.3029
CC1CC1C=O,0.2288
CC1CN1C=O,0.2544
CC1NC1C=O,0.222
CC1OC1C=O,0.2169
CN1CC1C=O,0.1969
O=CC1CC1O,0.2289
CC1CC1CO,0.3366
CC1NC1CO,0.3186
CC1OC1CO,0.3423
CCC1CC1C,0.357
CCC1CC1O,0.3338
CCC1CN1C,0.3065
CCC1OC1C,0.3538
CCN1CC1C,0.3128
CN1CC1CO,0.2927
COC1CC1C,0.3346
COC1CC1O,0.3028
OCC1CC1O,0.329
CC(=O)C1CC1,0.2339
CC(=O)C1CN1,0.2334
CC(=O)C1CO1,0.224
CC(=O)N1CC1,0.253
NC(=O)C1CC1,0.2784
NC(=O)C1CN1,0.2697
NC(=O)C1CO1,0.2627
NC(=O)N1CC1,0.2831
CC(C)C1CC1,0.3665
CC(C)C1CO1,0.3501
CC(C)N1CC1,0.3196
CC(O)C1CC1,0.3376
CC(O)C1CN1,0.2983
CC(O)C1CO1,0.351
C1CC2(C1)CC2,0.3562
C1CC2(CC2)O1,0.3051
C1CC12COC2,0.3106
C1NC12COC2,0.3037
C1CC2(C1)CO2,0.3343
C1OCC12CO2,0.3209
C1=CC2CC1C2,0.2404
C1=CC2CC1O2,0.2354
C1CC2CC1C2,0.3879
C1OC2CC1C2,0.3339
C1CC2CC1O2,0.335
CC1C2CC1C2,0.3939
CC1C2CC1O2,0.3232
OC1C2CC1C2,0.3278
OC1C2CC1O2,0.3019
C1=CCOCC1,0.2671
C1=CCCCC1,0.268
C1=NCCCO1,0.2732
C1CCCCC1,0.3783
C1CCOCC1,0.3324
C1COCCO1,0.3304
C1COCOC1,0.3513
C1CC2CCC12,0.3476
C1CC2OCC12,0.3159
C1OC2COC12,0.3068
CC1C2CCC12,0.3413
CC1C2COC12,0.3148
OC1C2CCC12,0.3221
OC1C2COC12,0.2971
C1=CC2CC2C1,0.2495
C1=NC2CC2O1,0.2608
C1=CC2NC2C1,0.247
C1=CC2OC2C1,0.2477
C1CC2CC2C1,0.3524
C1CC2CC2O1,0.3186
C1OCC2CC12,0.3407
C1OC2CC2O1,0.3209
C1CC2OC2C1,0.3533
C1OCC2NC12,0.3149
C1OCC2OC12,0.3521
N=C1OC2CC12,0.2804
O=C1CC2CC12,0.2329
O=C1CC2CN12,0.2378
O=C1CC2NC12,0.2224
O=C1CC2OC12,0.2179
O=C1CN2CC12,0.225
O=C1NC2CC12,0.2561
O=C1OC2CC12,0.2794
CC1CC2CC12,0.3435
CC1CC2OC12,0.3397
CC1OC2CC12,0.3204
OC1CC2CC12,0.3269
OC1CC2NC12,0.3133
OC1CC2OC12,0.3294
OC1CN2CC12,0.2971
C1C2C3CC2C13,0.3958
C1C2C3CN2C13,0.324
C1C2C3OC2C13,0.3099
N1C2C3NC2C13,0.2876
N1C2C3OC2C13,0.2929
O1C2C3OC2C13,0.2942
C1CC1C1CC1,0.3399
C1CC1C1CO1,0.3534
C1CC1N1CC1,0.3114
C1NC1C1CN1,0.3032
C1NC1C1CO1,0.3238
C1OC1C1CO1,0.3373
C1C2C1C1CC21,0.2941
C1C2C1C1NC21,0.2857
C1C2C1C1OC21,0.2952
C1C2C1N1CC21,0.2917
N1C2C1C1NC21,0.2717
N1C2C1C1OC21,0.2785
O1C2C1C1OC21,0.2955
C1C2CN3C1C23,0.3294
C1C2CC3C1C23,0.3515
C1C2CC3C1N23,0.3314
C1C2C3CN1C23,0.3121
C1C2OC3C1C23,0.3137
C12C3C1C1C2C31,0.3092
C12C3C1N1C2C31,0.2821
c1ccnnc1,0.1826
c1cnnnc1,0.186
c1nncnn1,0.1355
c1ncnnn1,0.1627
c1cnnnn1,0.166
Cc1ccn[nH]1,0.2577
Cc1ccno1,0.2456
Cc1cnn[nH]1,0.2527
Cc1cnno1,0.2351
Cc1cn[nH]c1,0.2601
Cc1c[nH]nn1,0.2526
Cc1cnoc1,0.247
Cc1conn1,0.2326
Cc1ncn[nH]1,0.2675
Cc1ncno1,0.2639
Cc1cc[nH]n1,0.2689
Cc1nc[nH]n1,0.27
Cc1cn[nH]n1,0.2596
Cc1nn[nH]n1,0.264
Cc1ccon1,0.2566
Cc1ncon1,0.2687
Cc1cnon1,0.26
Cc1nnon1,0.25
Cn1cccn1,0.2625
Cn1ccnn1,0.2591
Cn1cncn1,0.2716
Cn1cnnc1,0.2659
Cn1cnnn1,0.2678
Cn1nccn1,0.2577
Cn1ncnn1,0.2662
Cn1nnnn1,0.2723
N=c1[nH]cno1,0.2287
N=c1[nH]nn[nH]1,0.2045
N=c1ocno1,0.2413
N=c1onno1,0.2189
Nc1ccn[nH]1,0.244
Nc1ccno1,0.2307
Nc1cnn[nH]1,0.236
Nc1cnno1,0.2167
Nc1cn[nH]c1,0.2257
Nc1c[nH]nn1,0.217
Nc1cnoc1,0.2138
Nc1conn1,0.1965
Nc1ncn[nH]1,0.255
Nc1ncno1,0.249
Nc1cc[nH]n1,0.2353
Nc1nc[nH]n1,0.2332
Nc1cn[nH]n1,0.2241
Nc1nn[nH]n1,0.2194
Nc1ccon1,0.2357
Nc1ncon1,0.2309
Nc1cnon1,0.2173
Nc1nnon1,0.2038
O=c1[nH]cn[nH]1,0.2421
O=c1[nH]cno1,0.2527
O=c1[nH]nn[nH]1,0.2325
O=c1[nH]nno1,0.2397
O=c1ocno1,0.2672
O=c1onno1,0.2469
Oc1ccn[nH]1,0.258
Oc1cn[nH]c1,0.2369
Oc1c[nH]nn1,0.2284
Oc1ncn[nH]1,0.2703
Oc1cc[nH]n1,0.2478
Oc1nc[nH]n1,0.2475
Oc1cn[nH]n1,0.2377
Oc1nn[nH]n1,0.2378
Oc1ccon1,0.2518
Oc1ncon1,0.2469
Oc1nnon1,0.2227
CC#CC(C)=NO,0.2034
C#CCC(C)=NO,0.2556
CC(CC#N)=NO,0.2536
CC(CC=O)=NO,0.2077
CC(CCO)=NO,0.2523
CCCC(C)=NO,0.256
COCC(C)=NO,0.2552
CC(=NO)C(C)=NO,0.1952
CC(=NO)C(N)=O,0.215
CC(=NO)C(C)C,0.2581
CC(=NO)C(C)O,0.255
CC1CC(=NO)C1,0.2496
CN1CC(=NO)C1,0.2255
ON=C1CC(O)C1,0.2488
C#CC(C#C)=NO,0.1816
C#CC(CC)=NO,0.2072
C#CC(CO)=NO,0.2056
CCC(CC)=NO,0.2545
CCC(CO)=NO,0.2553
CC1CCC1=NO,0.2499
CC1NCC1=NO,0.2331
CC1OCC1=NO,0.2454
ON=C1CCC1O,0.2483
ON=C1CC=CC1,0.2457
ON=C1C=CCC1,0.1929
ON=C1C=CNC1,0.1751
ON=C1CCCC1,0.2505
ON=C1CCOC1,0.2511
CC(=NO)C1CC1,0.2442
CC(=NO)C1CN1,0.2333
CC(=NO)C1CO1,0.2432
ON=C1CC2CC12,0.2464
ON=C1CC2NC12,0.2402
ON=C1CC2OC12,0.2485
ON=C1CN2CC12,0.2344
C#CC(F)(F)F,0.3188
N#CC(F)(F)F,0.3587
O=CC(F)(F)F,0.2243
NCC(F)(F)F,0.3268
OCC(F)(F)F,0.3488
CCC(F)(F)F,0.4465
Cc1c[nH]c(C)c1,0.2421
Cc1coc(C)c1,0.2359
Cc1cc(N)c[nH]1,0.2239
Cc1cc(N)co1,0.22
Cc1cc(O)c[nH]1,0.229
Cc1cc(O)co1,0.2243
Cc1c[nH]c(N)c1,0.2383
Cc1c[nH]c(O)c1,0.2458
Cc1c[nH]c(O)n1,0.2542
Cc1coc(N)c1,0.2261
Cc1coc(N)n1,0.2377
Cc1coc(O)n1,0.2473
Cc1c[nH]c(C)n1,0.2457
Cc1coc(C)n1,0.2414
Cc1nc(N)co1,0.2145
Cc1nc(O)c[nH]1,0.2263
Cc1nc(O)co1,0.2221
Nc1c[nH]c(N)c1,0.225
Nc1coc(N)c1,0.2213
Nc1cc(O)c[nH]1,0.2293
Nc1cc(O)co1,0.2232
Nc1c[nH]c(O)c1,0.2342
Nc1c[nH]c(O)n1,0.2361
Nc1coc(O)n1,0.2299
Nc1coc(N)n1,0.2236
Nc1nc(O)c[nH]1,0.2281
Nc1nc(O)co1,0.2288
Oc1c[nH]c(O)c1,0.2362
Oc1c[nH]c(O)n1,0.2431
Cc1ccc(C)[nH]1,0.2342
Cc1ccc(C)o1,0.2289
Cc1ccc(N)[nH]1,0.2317
Cc1ccc(N)o1,0.2186
Cc1ccc(O)[nH]1,0.2364
Cc1cnc(C)o1,0.2372
Cc1cnc(N)o1,0.2315
Cc1cnc(O)[nH]1,0.2474
Cc1cnc(O)o1,0.2425
Cc1ncc(N)o1,0.2217
Cc1ncc(O)[nH]1,0.2404
Nc1ccc(N)[nH]1,0.2327
Nc1ccc(N)o1,0.2189
Nc1ccc(O)[nH]1,0.2395
Nc1ccc(O)o1,0.227
Nc1cnc(N)o1,0.232
Nc1cnc(O)[nH]1,0.2464
Nc1cnc(O)o1,0.2432
Oc1ccc(O)[nH]1,0.2363
Oc1cnc(O)[nH]1,0.2479
Cc1c[nH]c(=N)o1,0.2224
Cc1c[nH]c(=O)[nH]1,0.2337
Cc1c[nH]c(=O)o1,0.2397
Cc1coc(=N)[nH]1,0.2243
Cc1coc(=N)o1,0.2382
Cc1coc(=O)[nH]1,0.2418
Cc1coc(=O)o1,0.2538
N=c1[nH]cc(N)o1,0.2263
Nc1c[nH]c(=O)[nH]1,0.2338
Nc1c[nH]c(=O)o1,0.2378
N=c1occ(N)o1,0.2379
Nc1coc(=O)[nH]1,0.2427
Nc1coc(=O)o1,0.2512
N=c1[nH]cc(O)o1,0.2344
O=c1[nH]cc(O)[nH]1,0.2345
O=c1[nH]cc(O)o1,0.2489
N=c1[nH]c(O)co1,0.2297
N=c1occ(O)o1,0.2538
O=c1occ(O)o1,0.2605
Cc1ccn(C)c1,0.2455
Cn1ccc(N)c1,0.2244
Cn1ccc(O)c1,0.2317
Cc1cn(C)cn1,0.249
Cn1cnc(N)c1,0.2207
Cn1cnc(O)c1,0.229
N=c1ccocn1,0.2096
N=c1nc[nH]cn1,0.1937
N=c1ncocn1,0.2159
O=c1cc[nH]cc1,0.2043
O=c1cc[nH]cn1,0.2039
O=c1ccocc1,0.1998
O=c1ccocn1,0.2076
O=c1ncocn1,0.2136
N=c1ncnc[nH]1,0.1774
N=c1cccco1,0.167
N=c1nccco1,0.1678
N=c1cncco1,0.164
N=c1ccnco1,0.1815
N=c1ncnco1,0.1854
O=c1cccc[nH]1,0.1783
O=c1nccc[nH]1,0.1806
O=c1cncc[nH]1,0.1713
O=c1ccnc[nH]1,0.1966
O=c1ncnc[nH]1,0.1996
